Sample	File	Factor
Control_AD_1	SRR13200205	Control_AD
Control_AD_2	SRR13200206	Control_AD
Control_AD_3	SRR13200207	Control_AD
Control_FT_1	SRR13200208	Control_FT
Control_FT_2	SRR13200209	Control_FT
Control_FT_3	SRR13200210	Control_FT
Control_OC.O_1	SRR13200211	Control_OC-O
Control_OC.O_2	SRR13200212	Control_OC-O
Control_OC.O_3	SRR13200213	Control_OC-O
Control_OC.C_1	SRR13200214	Control_OC-C
Control_OC.C_2	SRR13200215	Control_OC-C
Control_OC.C_3	SRR13200216	Control_OC-C
IL.1Beta_AD_1	SRR13200217	IL-1Beta_AD
IL.1Beta_AD_2	SRR13200218	IL-1Beta_AD
IL.1Beta_AD_3	SRR13200219	IL-1Beta_AD
IL.1Beta_FT_1	SRR13200220	IL-1Beta_FT
IL.1Beta_FT_2	SRR13200221	IL-1Beta_FT
IL.1Beta_FT_3	SRR13200222	IL-1Beta_FT
IL.1Beta_OC.O_1	SRR13200223	IL-1Beta_OC-O
IL.1Beta_OC.O_2	SRR13200224	IL-1Beta_OC-O
IL.1Beta_OC.O_3	SRR13200225	IL-1Beta_OC-O
IL.1Beta_OC.C_1	SRR13200226	IL-1Beta_OC-C
IL.1Beta_OC.C_2	SRR13200227	IL-1Beta_OC-C
IL.1Beta_OC.C_3	SRR13200228	IL-1Beta_OC-C
IL.1Beta.NPX_AD_1	SRR13200229	IL-1Beta+NPX_AD
IL.1Beta.NPX_AD_2	SRR13200230	IL-1Beta+NPX_AD
IL.1Beta.NPX_AD_3	SRR13200231	IL-1Beta+NPX_AD
IL.1Beta.NPX_FT_1	SRR13200232	IL-1Beta+NPX_FT
IL.1Beta.NPX_FT_2	SRR13200233	IL-1Beta+NPX_FT
IL.1Beta.NPX_FT_3	SRR13200234	IL-1Beta+NPX_FT
IL.1Beta.NPX_OC.O_1	SRR13200235	IL-1Beta+NPX_OC-O
IL.1Beta.NPX_OC.O_2	SRR13200236	IL-1Beta+NPX_OC-O
IL.1Beta.NPX_OC.O_3	SRR13200237	IL-1Beta+NPX_OC-O
IL.1Beta.NPX_OC.C_1	SRR13200238	IL-1Beta+NPX_OC-C
IL.1Beta.NPX_OC.C_2	SRR13200239	IL-1Beta+NPX_OC-C
IL.1Beta.NPX_OC.C_3	SRR13200240	IL-1Beta+NPX_OC-C
