Sample	File	Treatment
Control_1	ERR1223303	Control
Control_2	ERR1223304	Control
Control_3	ERR1223305	Control
Control_4	ERR1223306	Control
Control_5	ERR1223307	Control
Control_6	ERR1223308	Control
Synovitis_1	ERR1223309	synovitis
Synovitis_2	ERR1223310	synovitis
Synovitis_3	ERR1223311	synovitis
Synovitis_4	ERR1223312	synovitis
Synovitis_5	ERR1223313	synovitis
Synovitis_6	ERR1223314	synovitis
synovitis_with_corticosteroid_1	ERR1223315	synovitis_with_corticosteroid
synovitis_with_corticosteroid_2	ERR1223316	synovitis_with_corticosteroid
synovitis_with_corticosteroid_3	ERR1223317	synovitis_with_corticosteroid
synovitis_with_corticosteroid_4	ERR1223318	synovitis_with_corticosteroid
synovitis_with_corticosteroid_5	ERR1223319	synovitis_with_corticosteroid
synovitis_with_corticosteroid_6	ERR1223320	synovitis_with_corticosteroid
