Sample	File	Factor
WT_Day.0_1	SRR19664676	WT_Day_0
WT_Day.0_2	SRR19664675	WT_Day_0
WT_Day.0_3	SRR19664673|SRR19664674	WT_Day_0
WT_Day.4_1	SRR19664672	WT_Day_4
WT_Day.4_2	SRR19664671	WT_Day_4
WT_Day.4_3	SRR19664670	WT_Day_4
WT_Day.9_1	SRR19664669	WT_Day_9
WT_Day.9_2	SRR19664668	WT_Day_9
WT_Day.9_3	SRR19664667	WT_Day_9
WRN.KD_Day.0_1	SRR19664663	WRN_KD_Day_0
WRN.KD_Day.0_2	SRR19664662	WRN_KD_Day_0
WRN.KD_Day.0_3	SRR19664661	WRN_KD_Day_0
WRN.KD_Day.4_1	SRR19664660	WRN_KD_Day_4
WRN.KD_Day.4_2	SRR19664659	WRN_KD_Day_4
WRN.KD_Day.4_3	SRR19664658	WRN_KD_Day_4
WRN.KD_Day.9_1	SRR19664657	WRN_KD_Day_9
WRN.KD_Day.9_2	SRR19664656	WRN_KD_Day_9
WRN.KD_Day.9_3	SRR19664655	WRN_KD_Day_9
