Sample	File	title
mRNA_0_0_a_1	SRR11459383	mRNA_0_0
mRNA_0_0_b_1	SRR11459384|SRR11459385|SRR11459386|SRR11459387	mRNA_0_0
mRNA_0_0_c_1	SRR11459388	mRNA_0_0
mRNA_4_0_a_1	SRR11459389|SRR11459390|SRR11459391|SRR11459392	mRNA_4_0
mRNA_4_0_b_1	SRR11459393|SRR11459394|SRR11459395|SRR11459396	mRNA_4_0
mRNA_4_0_c_1	SRR11459397|SRR11459398|SRR11459399|SRR11459400	mRNA_4_0
mRNA_4_IL1_a_1	SRR11459401|SRR11459402|SRR11459403|SRR11459404	mRNA_4_IL1
mRNA_4_IL1_b_1	SRR11459405|SRR11459406|SRR11459407|SRR11459408	mRNA_4_IL1
mRNA_4_IL1_c_1	SRR11459409	mRNA_4_IL1
mRNA_4_TNF_a_1	SRR11459410|SRR11459411|SRR11459412|SRR11459413	mRNA_4_TNF
mRNA_4_TNF_b_1	SRR11459414	mRNA_4_TNF
mRNA_4_TNF_c_1	SRR11459415|SRR11459416|SRR11459417|SRR11459418	mRNA_4_TNF
mRNA_12_0_a_1	SRR11459419|SRR11459420|SRR11459421|SRR11459422	mRNA_12_0
mRNA_12_0_b_1	SRR11459423|SRR11459424|SRR11459425|SRR11459426	mRNA_12_0
mRNA_12_0_c_1	SRR11459427|SRR11459428|SRR11459429|SRR11459430	mRNA_12_0
mRNA_12_IL1_a_1	SRR11459431|SRR11459432|SRR11459433|SRR11459434	mRNA_12_IL1
mRNA_12_IL1_b_1	SRR11459435|SRR11459436|SRR11459437|SRR11459438	mRNA_12_IL1
mRNA_12_IL1_c_1	SRR11459439|SRR11459440|SRR11459441|SRR11459442	mRNA_12_IL1
mRNA_12_TNF_a_1	SRR11459443|SRR11459444|SRR11459445|SRR11459446	mRNA_12_TNF
mRNA_12_TNF_b_1	SRR11459447|SRR11459448|SRR11459449|SRR11459450	mRNA_12_TNF
mRNA_12_TNF_c_1	SRR11459451|SRR11459452|SRR11459453|SRR11459454	mRNA_12_TNF
mRNA_24_0_a_1	SRR11459455|SRR11459456|SRR11459457|SRR11459458	mRNA_24_0
mRNA_24_0_b_1	SRR11459459|SRR11459460|SRR11459461|SRR11459462	mRNA_24_0
mRNA_24_0_c_1	SRR11459463|SRR11459464|SRR11459465|SRR11459466	mRNA_24_0
mRNA_24_IL1_a_1	SRR11459467|SRR11459468|SRR11459469|SRR11459470	mRNA_24_IL1
mRNA_24_IL1_b_1	SRR11459471|SRR11459472|SRR11459473|SRR11459474	mRNA_24_IL1
mRNA_24_IL1_c_1	SRR11459475|SRR11459476|SRR11459477|SRR11459478	mRNA_24_IL1
mRNA_24_TNF_a_1	SRR11459479|SRR11459480|SRR11459481|SRR11459482	mRNA_24_TNF
mRNA_24_TNF_b_1	SRR11459483|SRR11459484|SRR11459485|SRR11459486	mRNA_24_TNF
mRNA_24_TNF_c_1	SRR11459487|SRR11459488|SRR11459489|SRR11459490	mRNA_24_TNF
mRNA_72_0_a_1	SRR11459491|SRR11459492|SRR11459493|SRR11459494	mRNA_72_0
mRNA_72_0_b_1	SRR11459495|SRR11459496|SRR11459497|SRR11459498	mRNA_72_0
mRNA_72_0_c_1	SRR11459499|SRR11459500|SRR11459501|SRR11459502	mRNA_72_0
mRNA_72_IL1_a_1	SRR11459503|SRR11459504|SRR11459505|SRR11459506	mRNA_72_IL1
mRNA_72_IL1_b_1	SRR11459507|SRR11459508|SRR11459509|SRR11459510	mRNA_72_IL1
mRNA_72_IL1_c_1	SRR11459511|SRR11459512|SRR11459513|SRR11459514	mRNA_72_IL1
mRNA_72_TNF_a_1	SRR11459515|SRR11459516|SRR11459517|SRR11459518	mRNA_72_TNF
mRNA_72_TNF_b_1	SRR11459519|SRR11459520|SRR11459521|SRR11459522	mRNA_72_TNF
mRNA_72_TNF_c_1	SRR11459523|SRR11459524|SRR11459525|SRR11459526	mRNA_72_TNF
