Sample	File	Genotype
Control_1_E11.5	SRR7171152	Control_E11.5
Control_2_E11.5	SRR7171153	Control_E11.5
Control_3_E11.5	SRR7171154	Control_E11.5
Sox9null_1_E11.5	SRR7171155	Sox9null_E11.5
Sox9null_2_E11.5	SRR7171156	Sox9null_E11.5
Sox9null_3_E11.5	SRR7171157	Sox9null_E11.5
Sox9null_4_E11.5	SRR7171158	Sox9null_E11.5
Control_1_E12.5	SRR7171159	Control_E12.5
Control_2_E12.5	SRR7171160	Control_E12.5
Control_3_E12.5	SRR7171161	Control_E12.5
Sox9cKO1	SRR7171162	Sox9null_E12.5
Sox9cKO2	SRR7171163	Sox9null_E12.5
Sox9cKO3	SRR7171164	Sox9null_E12.5
