Sample	File	Treatment
Control.Day0_1	ERR2059850	Control.Day0
Control.Day0_2	ERR2059851	Control.Day0
Control.Day0_3	ERR2059852	Control.Day0
Control.Day0_4	ERR2059853	Control.Day0
Control.Day0_5	ERR2059854	Control.Day0
Control.Day0_6	ERR2059855	Control.Day0
Injury.Day7_1	ERR2059856	Injury.Day7
Injury.Day7_2	ERR2059857	Injury.Day7
Injury.Day7_3	ERR2059858	Injury.Day7
Injury.Day7_4	ERR2059859	Injury.Day7
Injury.Day7_5	ERR2059860	Injury.Day7
Injury.Day7_6	ERR2059861	Injury.Day7
Injury.Day28_1	ERR2059862	Injury.Day28
Injury.Day28_2	ERR2059863	Injury.Day28
Injury.Day28_3	ERR2059864	Injury.Day28
Injury.Day28_4	ERR2059865	Injury.Day28
Injury.Day28_5	ERR2059866	Injury.Day28
Injury.Day28_6	ERR2059867	Injury.Day28
InjuryReconstruct.Day7_1	ERR2059868	InjuryReconstruct.Day7
InjuryReconstruct.Day7_2	ERR2059869	InjuryReconstruct.Day7
InjuryReconstruct.Day7_3	ERR2059870	InjuryReconstruct.Day7
InjuryReconstruct.Day7_4	ERR2059871	InjuryReconstruct.Day7
InjuryReconstruct.Day7_5	ERR2059872	InjuryReconstruct.Day7
InjuryReconstruct.Day7_6	ERR2059873	InjuryReconstruct.Day7
InjuryReconstruct.Day28_1	ERR2059874	InjuryReconstruct.Day28
InjuryReconstruct.Day28_2	ERR2059875	InjuryReconstruct.Day28
InjuryReconstruct.Day28_3	ERR2059876	InjuryReconstruct.Day28
InjuryReconstruct.Day28_4	ERR2059877	InjuryReconstruct.Day28
InjuryReconstruct.Day28_5	ERR2059878	InjuryReconstruct.Day28
InjuryReconstruct.Day28_6	ERR2059879	InjuryReconstruct.Day28
InjuryRepair.Day7_1	ERR2059880	InjuryRepair.Day7
InjuryRepair.Day7_2	ERR2059881	InjuryRepair.Day7
InjuryRepair.Day7_3	ERR2059882	InjuryRepair.Day7
InjuryRepair.Day7_4	ERR2059883	InjuryRepair.Day7
InjuryRepair.Day7_5	ERR2059884	InjuryRepair.Day7
InjuryRepair.Day7_6	ERR2059885	InjuryRepair.Day7
InjuryRepair.Day28_1	ERR2059886	InjuryRepair.Day28
InjuryRepair.Day28_2	ERR2059887	InjuryRepair.Day28
InjuryRepair.Day28_3	ERR2059888	InjuryRepair.Day28
InjuryRepair.Day28_4	ERR2059889	InjuryRepair.Day28
InjuryRepair.Day28_5	ERR2059890	InjuryRepair.Day28
InjuryRepair.Day28_6	ERR2059891	InjuryRepair.Day29
