Sample	File	Condition
WT_vehicle_1	SRR4343308	WT_vehicle
WT_vehicle_2	SRR4343309	WT_vehicle
WT_vehicle_3	SRR4343310	WT_vehicle
Runx2HET_vehicle_1	SRR4343311	Runx2HET_vehicle
Runx2HET_vehicle_2	SRR4343312	Runx2HET_vehicle
Runx2HET_vehicle_3	SRR4343313	Runx2HET_vehicle
WT_MS275_1	SRR4343314	WT_MS275
WT_MS275_2	SRR4343315	WT_MS275
WT_MS275_3	SRR4343316	WT_MS275
Runx2HET_MS275_1	SRR4343317	Runx2HET_MS275
Runx2HET_MS275_2	SRR4343318	Runx2HET_MS275
Runx2HET_MS275_3	SRR4343319	Runx2HET_MS275
