Sample	File	Condition
siCon_FOB_Und	SRR4450223|SRR4450224	siCon_FOB_Und
siCon_FOB_Ob	SRR4450225|SRR4450226	siCon_FOB_Ob
siCHD1_FOB_Ob	SRR4450227|SRR4450228	siCHD1_FOB_Ob
siCon_MSC_Und	SRR4450229|SRR4450230	siCon_MSC_Und
siCon_MSC_Ad	SRR4450231|SRR4450232	siCon_MSC_Ad
siCHD1_MSC_Ad	SRR4450233|SRR4450234	siCHD1_MSC_Ad
siCon_MSC_Ob	SRR4450235|SRR4450236	siCon_MSC_Ob
siCHD1_MSC_Ob	SRR4450237|SRR4450238	siCHD1_MSC_Ob
siCHD1_MSC_Und	SRR4450244|SRR4450245	siCHD1_MSC_Und
