Sample	File	Factor
p2_Resting.zone_1	SRR7095951|SRR7095952	p2_Resting zone
p2_Proliferative.zone_1	SRR7095953|SRR7095954	p2_Proliferative zone
p2_Hypertrophic.zone_1	SRR7095955|SRR7095956	p2_Hypertrophic zone
p2_Resting.zone_2	SRR7095957|SRR7095958	p2_Resting zone
p2_Proliferative.zone_2	SRR7095959|SRR7095960	p2_Proliferative zone
p2_Hypertrophic.zone_2	SRR7095961|SRR7095962	p2_Hypertrophic zone
p2_Resting.zone_3	SRR7095963|SRR7095964	p2_Resting zone
p2_Proliferative.zone_3	SRR7095965|SRR7095966	p2_Proliferative zone
p2_Hypertrophic.zone_3	SRR7095967|SRR7095968	p2_Hypertrophic zone
p2_Resting.zone_4	SRR7095969|SRR7095970	p2_Resting zone
p2_Proliferative.zone_4	SRR7095971|SRR7095972	p2_Proliferative zone
p2_Hypertrophic.zone_4	SRR7095973|SRR7095974	p2_Hypertrophic zone
p2_Resting.zone_5	SRR7095975|SRR7095976	p2_Resting zone
p2_Proliferative.zone_5	SRR7095977|SRR7095978	p2_Proliferative zone
p2_Hypertrophic.zone_5	SRR7095979|SRR7095980	p2_Hypertrophic zone
p2_Resting.zone_6	SRR7095981|SRR7095982	p2_Resting zone
p2_Proliferative.zone_6	SRR7095983|SRR7095984	p2_Proliferative zone
p2_Hypertrophic.zone_6	SRR7095985|SRR7095986	p2_Hypertrophic zone
p28_Resting.zone_1	SRR7095987|SRR7095988	p28_Resting zone
p28_Proliferative.zone_1	SRR7095989|SRR7095990	p28_Proliferative zone
p28_Hypertrophic.zone_1	SRR7095991|SRR7095992	p28_Hypertrophic zone
p28_Resting.zone_2	SRR7095993|SRR7095994	p28_Resting zone
p28_Proliferative.zone_2	SRR7095995|SRR7095996	p28_Proliferative zone
p28_Hypertrophic.zone_2	SRR7095997|SRR7095998	p28_Hypertrophic zone
p28_Resting.zone_3	SRR7095999|SRR7096000	p28_Resting zone
p28_Proliferative.zone_3	SRR7096001|SRR7096002	p28_Proliferative zone
p28_Hypertrophic.zone_3	SRR7096003|SRR7096004	p28_Hypertrophic zone
p28_Resting.zone_4	SRR7096005|SRR7096006	p28_Resting zone
p28_Proliferative.zone_4	SRR7096007|SRR7096008	p28_Proliferative zone
p28_Hypertrophic.zone_4	SRR7096009|SRR7096010	p28_Hypertrophic zone
p28_Resting.zone_5	SRR7096011|SRR7096012	p28_Resting zone
p28_Proliferative.zone_5	SRR7096013|SRR7096014	p28_Proliferative zone
p28_Hypertrophic.zone_5	SRR7096015|SRR7096016	p28_Hypertrophic zone
p28_Resting.zone_6	SRR7096017|SRR7096018	p28_Resting zone
p28_Proliferative.zone_6	SRR7096019|SRR7096020	p28_Proliferative zone
p28_Hypertrophic.zone_6	SRR7096021|SRR7096022	p28_Hypertrophic zone
p28_Resting.zone_7	SRR8388857|SRR8388858	p28_Resting zone
p28_Hypertrophic.zone_7	SRR8388859|SRR8388860	p28_Hypertrophic zone
p28_Proliferative.zone_7	SRR8388861|SRR8388862	p28_Proliferative zone
p28_Resting.zone_8	SRR8388863|SRR8388864	p28_Resting zone
p28_Hypertrophic.zone_8	SRR8388865|SRR8388866	p28_Hypertrophic zone
p28_Proliferative.zone_8	SRR8388867|SRR8388868	p28_Proliferative zone
p28_Hypertrophic.zone_9	SRR8388869|SRR8388870	p28_Hypertrophic zone
p28_Proliferative.zone_9	SRR8388871|SRR8388872	p28_Proliferative zone
p28_Resting.zone_9	SRR8388873|SRR8388874	p28_Resting zone
p28_Hypertrophic.zone_10	SRR8388875|SRR8388876	p28_Hypertrophic zone
p28_Resting.zone_10	SRR8388877|SRR8388878	p28_Resting zone
p28_Proliferative.zone_10	SRR8388879|SRR8388880	p28_Proliferative zone
p28_Hypertrophic.zone_11	SRR8388881|SRR8388882	p28_Hypertrophic zone
p28_Resting.zone_11	SRR8388883|SRR8388884	p28_Resting zone
p28_Proliferative.zone_11	SRR8388885|SRR8388886	p28_Proliferative zone
p28_Hypertrophic.zone_12	SRR8388887|SRR8388888	p28_Hypertrophic zone
p28_Proliferative.zone_12	SRR8388889|SRR8388890	p28_Proliferative zone
p28_Resting.zone_12	SRR8388891|SRR8388892	p28_Resting zone
p28_Proliferative.zone_13	SRR8388893|SRR8388894	p28_Proliferative zone
p28_Proliferative.zone_14	SRR8388895|SRR8388896	p28_Proliferative zone
p28_Hypertrophic.zone_13	SRR8388897|SRR8388898	p28_Hypertrophic zone
p28_Hypertrophic.zone_14	SRR8388899|SRR8388900	p28_Hypertrophic zone
p2_Resting.zone_7	SRR8388901|SRR8388902	p2_Resting zone
p2_Resting.zone_8	SRR8388903|SRR8388904	p2_Resting zone
p2_Resting.zone_9	SRR8388907|SRR8388908	p2_Resting zone
p2_Proliferative.zone_7	SRR8388909|SRR8388910	p2_Proliferative zone
p2_Proliferative.zone_8	SRR8388911|SRR8388912	p2_Proliferative zone
p2_Hypertrophic.zone_7	SRR8388915|SRR8388916	p2_Hypertrophic zone
p2_Hypertrophic.zone_8	SRR8388917|SRR8388918	p2_Hypertrophic zone
