Sample	File	Factor
Zac1.biallelic.expressing_Tongue_Embryonic.day.E13.5_1	SRR5167767	Zac1_biallelic_expressing_Tongue_Embryonic_day_E13.5
Zac1.biallelic.expressing_Tongue_Embryonic.day.E13.5_2	SRR5167769	Zac1_biallelic_expressing_Tongue_Embryonic_day_E13.5
wild.type_Tongue_Embryonic.day.E13.5_2	SRR5167770	wild_type_Tongue_Embryonic_day_E13.5
Zac1.biallelic.expressing_Tongue_Embryonic.day.E13.5_3	SRR5167771	Zac1_biallelic_expressing_Tongue_Embryonic_day_E13.5
wild.type_Tongue_Embryonic.day.E13.5_3	SRR5167772	wild_type_Tongue_Embryonic_day_E13.5
Zac1.biallelic.expressing_Tongue_Postnatal.day.P0_1	SRR5167773	Zac1_biallelic_expressing_Tongue_Postnatal_day_P0
wild.type_Tongue_Postnatal.day.P0_1	SRR5167774	wild_type_Tongue_Postnatal_day_P0
Zac1.biallelic.expressing_Tongue_Postnatal.day.P0_2	SRR5167775	Zac1_biallelic_expressing_Tongue_Postnatal_day_P0
wild.type_Tongue_Postnatal.day.P0_2	SRR5167776	wild_type_Tongue_Postnatal_day_P0
Zac1.biallelic.expressing_Tongue_Postnatal.day.P0_3	SRR5167777	Zac1_biallelic_expressing_Tongue_Postnatal_day_P0
wild.type_Tongue_Postnatal.day.P0_3	SRR5167778	wild_type_Tongue_Postnatal_day_P0
Zac1.biallelic.expressing_Tongue_Postnatal.day.P20_1	SRR5167779	Zac1_biallelic_expressing_Tongue_Postnatal_day_P20
wild.type_Tongue_Postnatal.day.P20_1	SRR5167780	wild_type_Tongue_Postnatal_day_P20
Zac1.biallelic.expressing_Tongue_Postnatal.day.P20_2	SRR5167781	Zac1_biallelic_expressing_Tongue_Postnatal_day_P20
wild.type_Tongue_Postnatal.day.P20_2	SRR5167782	wild_type_Tongue_Postnatal_day_P20
Zac1.biallelic.expressing_Tongue_Postnatal.day.P20_3	SRR5167783	Zac1_biallelic_expressing_Tongue_Postnatal_day_P20
wild.type_Tongue_Postnatal.day.P20_3	SRR5167784	wild_type_Tongue_Postnatal_day_P20
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_1	SRR6030520	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_2	SRR6030521	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_3	SRR6030522	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_4	SRR6030523	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_5	SRR6030524	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_6	SRR6030525	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_7	SRR6030526	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_8	SRR6030527	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_9	SRR6030528	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
Zac1.biallelic.expressing_Costal.Chondrocytes_Embryonic.day.E18.5_10	SRR6030529	Zac1_biallelic_expressing_Costal_Chondrocytes_Embryonic_day_E18.5
wild.type_Costal.Chondrocytes_Embryonic.day.E18.5_1	SRR6030530	wild_type_Costal_Chondrocytes_Embryonic_day_E18.5
wild.type_Costal.Chondrocytes_Embryonic.day.E18.5_2	SRR6030531	wild_type_Costal_Chondrocytes_Embryonic_day_E18.5
wild.type_Costal.Chondrocytes_Embryonic.day.E18.5_3	SRR6030532	wild_type_Costal_Chondrocytes_Embryonic_day_E18.5
wild.type_Costal.Chondrocytes_Embryonic.day.E18.5_4	SRR6030533	wild_type_Costal_Chondrocytes_Embryonic_day_E18.5
wild.type_Costal.Chondrocytes_Embryonic.day.E18.5_5	SRR6030534	wild_type_Costal_Chondrocytes_Embryonic_day_E18.5
