Sample	File	genotype
CBX4....ESC.KO.1._1	SRR7519591	ESC_CBX4_KO
CBX4....ESC.KO.2._1	SRR7519592	ESC_CBX4_KO
CBX4....ESC.WT.1._1	SRR7519593	ESC_CBX4_WT
CBX4....ESC.WT.2._1	SRR7519594	ESC_CBX4_WT
CBX4....MSC.KO1._1	SRR7519605	MSC_CBX4_KO
CBX4....MSC.KO2._1	SRR7519606	MSC_CBX4_KO 
CBX4....MSC.WT1._1	SRR7519607	MSC_CBX4_WT
CBX4....MSC.WT2._1	SRR7519608	MSC_CBX4_WT
