Sample	File	Genotype
WT_Plb_1	SRR6684427|SRR6684428|SRR6684429	WT_Plb
WT_Plb_2	SRR6684430	WT_Plb
WT_E2_1	SRR6684431	WT_E2
WT_E2_2	SRR6684432	WT_E2
WT_E2_3	SRR6684433	WT_E2
KO_Plb_1	SRR6684434	KO_Plb
KO_Plb_2	SRR6684435	KO_Plb
KO_Plb_3	SRR6684436	KO_Plb
KO_Plb_4	SRR6684437	KO_Plb
KO_E2_1	SRR6684438	KO_E2
KO_E2_2	SRR6684439	KO_E2
KO_E2_3	SRR6684440	KO_E2
