Sample	File	title
Inner.Loaded.5_1	SRR17265373	Inner.Loaded
Inner.Loaded.1_1	SRR17265372	Inner.Loaded
Inner.Loaded.4_1	SRR17265371	Inner.Loaded
Inner.Unloaded.5_1	SRR17265370	Inner.Unloaded
Inner.Unloaded.2_1	SRR17265369	Inner.Unloaded
Inner.Unloaded.3_1	SRR17265368	Inner.Unloaded
Outer.Loaded.2_1	SRR17265367	Outer.Loaded
Outer.Loaded.3_1	SRR17265366	Outer.Loaded
Outer.Loaded.1_1	SRR17265365	Outer.Loaded
Outer.Unloaded.6_1	SRR17265364	Outer.Unloaded
Outer.Unloaded.3_1	SRR17265363	Outer.Unloaded
Outer.Unloaded.2_1	SRR17265362	Outer.Unloaded
Inner.Loaded.IL1.4_1	SRR17265361	Inner.Loaded.IL1
Inner.Loaded.IL1.5_1	SRR17265360	Inner.Loaded.IL1
Inner.Loaded.IL1.3_1	SRR17265359	Inner.Loaded.IL1
Inner.Unloaded.IL1.2_1	SRR17265358	Inner.Unloaded.IL1
Inner.Unloaded.IL1.4_1	SRR17265357	Inner.Unloaded.IL1
Inner.Unloaded.IL1.3_1	SRR17265356	Inner.Unloaded.IL1
Outer.Loaded.IL1.5_1	SRR17265355	Outer.Loaded.IL1
Outer.Loaded.IL1.4_1	SRR17265354	Outer.Loaded.IL1
Outer.Loaded.IL1.2_1	SRR17265353	Outer.Loaded.IL1
Outer.Unloaded.IL1.2_1	SRR17265352	Outer.Unloaded.IL1
Outer.Unloaded.IL1.1_1	SRR17265351	Outer.Unloaded.IL1
Outer.Unloaded.IL1.5_1	SRR17265350	Outer.Unloaded.IL1
