Sample	File	treatment
Control_1	SRR15881987|SRR15881988	Control
Control_2	SRR15881989|SRR15881990	Control
Control_3	SRR15881991|SRR15881992	Control
Scrambled_1	SRR15881993|SRR15881994	Scrambled
Scrambled_2	SRR15881995|SRR15881996	Scrambled
Scrambled_3	SRR15881997|SRR15881998	Scrambled
CA2.shRNA_1	SRR15881999|SRR15882000	CA2_shRNA
CA2.shRNA_2	SRR15882001|SRR15882002	CA2_shRNA
CA2.shRNA_3	SRR15882003|SRR15882004	CA2_shRNA
