Sample	File	Treatment
osteocyte_young_1	ERR1514446	osteocyte_young
osteocyte_young_2	ERR1514455	osteocyte_young
osteocyte_young_3	ERR1514466	osteocyte_young
osteocyte_young_4	ERR1514470	osteocyte_young
osteocyte_old_1	ERR1514471	osteocyte_old
osteocyte_old_2	ERR1514472	osteocyte_old
osteocyte_old_3	ERR1514473	osteocyte_old
osteocyte_old_4	ERR1514474	osteocyte_old
chondrocyte_young_1	ERR1514475	chondrocyte_young
chondrocyte_young_2	ERR1514447	chondrocyte_young
chondrocyte_young_3	ERR1514448	chondrocyte_young
chondrocyte_old_1	ERR1514449	chondrocyte_old
chondrocyte_old_2	ERR1514450	chondrocyte_old
chondrocyte_old_3	ERR1514451	chondrocyte_old
tendon_young_1	ERR1514452	tendon_young
tendon_young_2	ERR1514453	tendon_young
tendon_young_3	ERR1514454	tendon_young
tendon_young_4	ERR1514456	tendon_young
tendon_old_1	ERR1514457	tendon_old
tendon_old_2	ERR1514458	tendon_old
tendon_old_3	ERR1514459	tendon_old
tendon_old_4	ERR1514460	tendon_old
msc_young_1	ERR1514461	msc_young
msc_young_2	ERR1514462	msc_young
msc_young_3	ERR1514463	msc_young
msc_young_4	ERR1514464	msc_young
msc_old_1	ERR1514465	msc_old
msc_old_2	ERR1514467	msc_old
msc_old_3	ERR1514468	msc_old
msc_old_4	ERR1514469	msc_old
