Sample	File	Factor
control_end_1	SRR11774264|SRR11774265	control_end
control_end_2	SRR11774266|SRR11774267	control_end
control_end_3	SRR11774268|SRR11774269	control_end
H3.3K36M_end_1	SRR11774270|SRR11774271	H3.3K36M_end
H3.3K36M_end_2	SRR11774272|SRR11774273	H3.3K36M_end
H3.3K36M_end_3	SRR11774274|SRR11774275	H3.3K36M_end
control_midshaft_1	SRR11774276|SRR11774277	control_midshaft
control_midshaft_2	SRR11774278|SRR11774279	control_midshaft
control_midshaft_3	SRR11774280|SRR11774281	control_midshaft
H3.3K36M_midshaft_1	SRR11774282|SRR11774283	H3.3K36M_midshaft
H3.3K36M_midshaft_2	SRR11774284|SRR11774285	H3.3K36M_midshaft
H3.3K36M_midshaft_3	SRR11774286|SRR11774287	H3.3K36M_midshaft
