Sample	File	Genotype
KO-5AM-2	ERR793476	KO-5AM
KO-5AM-3	ERR793475	KO-5AM
KO-5PM-2	ERR793480	KO-5PM
KO-5PM-3	ERR793473	KO-5PM
KO-9AM-2	ERR793485	KO-9AM
KO-9AM-3	ERR793483	KO-9AM
KO-9PM-2	ERR793478	KO-9PM
KO-9PM-3	ERR793487	KO-9PM
WT-5AM-2	ERR793481	WT-5AM
WT-5AM-3	ERR793482	WT-5AM
WT-5PM-2	ERR793479	WT-5PM
WT-5PM-3	ERR793484	WT-5PM
WT-9AM-2	ERR793474	WT-9AM
WT-9AM-3	ERR793472	WT-9AM
WT-9PM-2	ERR793477	WT-9PM
WT-9PM-3	ERR793486	WT-9PM
