Sample	File	genotype
LDH.KO_1	SRR17417740	LDH_KO
LDH.KO_2	SRR17417739	LDH_KO
LDH.KO_3	SRR17417732	LDH_KO
LDH_1	SRR17417733	LDH
LDH_2	SRR17417734	LDH
LDH_3	SRR17417735	LDH
Acly.KO_1	SRR17417736	Acly_KO
Acly.KO_2	SRR17417737	Acly_KO
Acly.KO_3	SRR17417738	Acly_KO
Acly_1	SRR17417729	Acly
Acly_2	SRR17417730	Acly
Acly_3	SRR17417731	Acly
