Sample	File	Genotype
E9.5WT_1	SRR6121951	E9.5WT
E9.5WT_2	SRR6121952	E9.5WT
E9.5WT_3	SRR6121953	E9.5WT
E9.5_Pitx_KO_1	SRR6121954	E9.5_Pitx_KO
E9.5_Pitx_KO_2	SRR6121955	E9.5_Pitx_KO
E9.5_Pitx_KO_3	SRR6121956	E9.5_Pitx_KO
E11.5WT_1	SRR6121957	E11.5WT
E11.5WT_2	SRR6121958	E11.5WT
E11.5WT_3	SRR6121959	E11.5WT
E11.5_Pitx_KO_1	SRR6121960	E11.5_Pitx_KO
E11.5_Pitx_KO_2	SRR6121961	E11.5_Pitx_KO
E11.5_Pitx_KO_3	SRR6121962	E11.5_Pitx_KO
E12.5WT_1	SRR6121963	E12.5WT
E12.5WT_2	SRR6121964	E12.5WT
E12.5WT_3	SRR6121965	E12.5WT
E12.5_Pitx_KO_1	SRR6121966	E12.5_Pitx_KO
E12.5_Pitx_KO_2	SRR6121967	E12.5_Pitx_KO
E12.5_Pitx_KO_3	SRR6121968	E12.5_Pitx_KO
