Sample	File	Condition
WT_1	SRR6006665	WT
WT_2	SRR6006666	WT
WT_3	SRR6006667	WT
WT_4	SRR6006668	WT
WT_5	SRR6006669	WT
WT_6	SRR6006670	WT
WT_7	SRR6006671	WT
WT_Wnt3a_1	SRR6006672	WT_Wnt3a
WT_Wnt3a_2	SRR6006673	WT_Wnt3a
WT_Wnt3a_3	SRR6006674	WT_Wnt3a
WT_Wnt3a_4	SRR6006675	WT_Wnt3a
WT_Wnt3a_5	SRR6006676	WT_Wnt3a
WT_Wnt3a_6	SRR6006677	WT_Wnt3a
WT_Wnt3a_7	SRR6006678	WT_Wnt3a
Lrp5KO_1	SRR6006679	Lrp5KO
Lrp5KO_2	SRR6006680	Lrp5KO
Lrp5KO_3	SRR6006681	Lrp5KO
Lrp5KO_4	SRR6006682	Lrp5KO
Lrp5KO_5	SRR6006683	Lrp5KO
Lrp5KO_6	SRR6006684	Lrp5KO
Lrp5KO_7	SRR6006685	Lrp5KO
Lrp5KO_8	SRR6006686	Lrp5KO
Lrp5KO_Wnt3a_1	SRR6006687	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_2	SRR6006688	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_3	SRR6006689	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_4	SRR6006690	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_5	SRR6006691	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_6	SRR6006692	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_7	SRR6006693	Lrp5KO_Wnt3a
Lrp5KO_Wnt3a_8	SRR6006694	Lrp5KO_Wnt3a
Lrp6_Ctl_1	SRR6006695	Lrp6_Ctl
Lrp6_Ctl_2	SRR6006696	Lrp6_Ctl
Lrp6_Ctl_3	SRR6006697	Lrp6_Ctl
Lrp6_Ctl_4	SRR6006698	Lrp6_Ctl
Lrp6_KO_1	SRR6006699	Lrp6_KO
Lrp6_KO_2	SRR6006700	Lrp6_KO
Lrp6_KO_3	SRR6006701	Lrp6_KO
Lrp6_KO_4	SRR6006702	Lrp6_KO
Lrp6KO_Wnt3a_1	SRR6006703	Lrp6KO_Wnt3a
Lrp6KO_Wnt3a_2	SRR6006704	Lrp6KO_Wnt3a
Lrp6KO_Wnt3a_3	SRR6006705	Lrp6KO_Wnt3a
Lrp5_6_Ctl_1	SRR6006706	Lrp5_6_Ctl
Lrp5_6_Ctl_2	SRR6006707	Lrp5_6_Ctl
Lrp5_6_Ctl_3	SRR6006708	Lrp5_6_Ctl
Lrp5_6_KO_1	SRR6006709	Lrp5_6_KO
Lrp5_6_KO_2	SRR6006710	Lrp5_6_KO
Lrp5_6_KO_3	SRR6006711	Lrp5_6_KO
Lrp5_6_KO_4	SRR6006712	Lrp5_6_KO
Lrp5_6_KO_Wnt3a_1	SRR6006713	Lrp5_6_KO_Wnt3a
Lrp5_6_KO_Wnt3a_2	SRR6006714	Lrp5_6_KO_Wnt3a
Lrp5_6_KO_Wnt3a_3	SRR6006715	Lrp5_6_KO_Wnt3a
Lrp5_6_KO_Wnt3a_4	SRR6006716	Lrp5_6_KO_Wnt3a
