Sample	File	treatment
unt..20v.v.DMSO._1	SRR20992955	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._1	SRR20992954	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._1	SRR20992953	48hr HU308
unt..20v.v.DMSO._2	SRR20992952	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._2	SRR20992950	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._2	SRR20992949	48hr HU308
unt..20v.v.DMSO._3	SRR20992948	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._3	SRR20992951	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._3	SRR20992947	48hr HU308
unt..20v.v.DMSO._4	SRR20992946	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._4	SRR20992945	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._4	SRR20992944	48hr HU308
unt..20v.v.DMSO._5	SRR20992942	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._5	SRR20992941	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._5	SRR20992940	48hr HU308
unt..20v.v.DMSO._6	SRR20992943	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._6	SRR20992939	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._6	SRR20992938	48hr HU308
unt..20v.v.DMSO._7	SRR20992937	untreated
X4hr.HU308..100.nM.in.20v.v.DMSO._7	SRR20992936	4hr HU308
X48hr.HU308..100.nM.in.20v.v.DMSO._7	SRR20992935	48hr HU308
