Sample	File	treatment
static.control_1	SRR19457532|SRR19457533|SRR19457534|SRR19457531	static_control
static.control_2	SRR19457527|SRR19457528|SRR19457529|SRR19457530	static_control
static.control_3	SRR19457523|SRR19457524|SRR19457525|SRR19457526	static_control
static.control_4	SRR19457519|SRR19457520|SRR19457521|SRR19457522	static_control
static.control_5	SRR19457515|SRR19457516|SRR19457517|SRR19457518	static_control
static.control_6	SRR19457511|SRR19457512|SRR19457513|SRR19457514	static_control
low.frequency.strain_1	SRR19457507|SRR19457508|SRR19457509|SRR19457510	low_frequency_strain
low.frequency.strain_2	SRR19457503|SRR19457504|SRR19457505|SRR19457506	low_frequency_strain
low.frequency.strain_3	SRR19457499|SRR19457500|SRR19457501|SRR19457502	low_frequency_strain
low.frequency.strain_4	SRR19457495|SRR19457496|SRR19457497|SRR19457498	low_frequency_strain
low.frequency.strain_5	SRR19457491|SRR19457492|SRR19457493|SRR19457494	low_frequency_strain
low.frequency.strain_6	SRR19457487|SRR19457488|SRR19457489|SRR19457490	low_frequency_strain
high.frequency.strain_1	SRR19457483|SRR19457484|SRR19457485|SRR19457486	high_frequency_strain
high.frequency.strain_2	SRR19457479|SRR19457480|SRR19457481|SRR19457482	high_frequency_strain
high.frequency.strain_3	SRR19457475|SRR19457476|SRR19457477|SRR19457478	high_frequency_strain
high.frequency.strain_4	SRR19457471|SRR19457472|SRR19457473|SRR19457474	high_frequency_strain
high.frequency.strain_5	SRR19457467|SRR19457468|SRR19457469|SRR19457470	high_frequency_strain
high.frequency.strain_6	SRR19457463|SRR19457464|SRR19457465|SRR19457466	high_frequency_strain
