Sample	File	Genotype
E14.5_Ctrl_1	SRR5876935	E14.5_Ctrl
E14.5_Ctrl_2	SRR5876936	E14.5_Ctrl
E14.5_Ctrl_3	SRR6242235	E14.5_Ctrl
E14.5_Fgf8_1	SRR5876937	E14.5_Fgf8
E14.5_Fgf8_2	SRR5876938	E14.5_Fgf8
E14.5_Fgf8_3	SRR6242236	E14.5_Fgf8
E16.5_Ctrl_1	SRR5876939	E16.5_Ctrl
E16.5_Ctrl_2	SRR5876940	E16.5_Ctrl
E16.5_Ctrl_3	SRR6242237	E16.5_Ctrl
E16.5_Fgf8_1	SRR5876941	E16.5_Fgf8
E16.5_Fgf8_2	SRR5876942	E16.5_Fgf8
E16.5_Fgf8_3	SRR6242238	E16.5_Fgf8
