Sample	File	Genotype
WT_Plb_1	SRR6683848	WT_Plb
WT_Plb_2	SRR6683849	WT_Plb
WT_E2_1	SRR6683850	WT_E2
WT_E2_2	SRR6683851	WT_E2
WT_E2_3	SRR6683852	WT_E2
KO_Plb_1	SRR6683853	KO_Plb
KO_Plb_2	SRR6683854	KO_Plb
KO_Plb_3	SRR6683855	KO_Plb
KO_E2_1	SRR6683856	KO_E2
KO_E2_2	SRR6683857	KO_E2
KO_E2_3	SRR6683858	KO_E2
