Sample	File	Treatment
DMSO_6_1	ERR234087	DMSO_6
DMSO_6_2	ERR234088	DMSO_6
MELATONIN_6_1	ERR234089	MELATONIN_6
MELATONIN_6_2	ERR234090	MELATONIN_6
DMSO_24_1	ERR234091	DMSO_24
DMSO_24_2	ERR234092	DMSO_24
MELATONIN_24_1	ERR234093	MELATONIN_24
MELATONIN_24_2	ERR234094	MELATONIN_24
SEROTONIN_24_1	ERR234095	SEROTONIN_24
SEROTONIN_24_2	ERR234096	SEROTONIN_24
DMSO_48_1	ERR234083	DMSO_48
DMSO_48_2	ERR234084	DMSO_48
MELATONIN_48_1	ERR234085	MELATONIN_48
MELATONIN_48_2	ERR234086	MELATONIN_48

