Sample	File	Factor
DMSO_3.hours_1	SRR12354265	DMSO_3 hours
DMSO_3.hours_2	SRR12354266	DMSO_3 hours
DMSO_3.hours_3	SRR12354267	DMSO_3 hours
DMSO_3.hours_4	SRR12354268	DMSO_3 hours
X1uM.BPDP_3.hours_1	SRR12354269	1uM BPDP_3 hours
X1uM.BPDP_3.hours_2	SRR12354270	1uM BPDP_3 hours
X1uM.BPDP_3.hours_3	SRR12354271	1uM BPDP_3 hours
X1uM.BPDP_3.hours_4	SRR12354272	1uM BPDP_3 hours
X10uM.BPDP_3.hours_1	SRR12354273	10uM BPDP_3 hours
X10uM.BPDP_3.hours_2	SRR12354274	10uM BPDP_3 hours
X10uM.BPDP_3.hours_3	SRR12354275	10uM BPDP_3 hours
X10uM.BPDP_3.hours_4	SRR12354276	10uM BPDP_3 hours
DMSO_24.hours_1	SRR12354277	DMSO_24 hours
DMSO_24.hours_2	SRR12354278	DMSO_24 hours
DMSO_24.hours_3	SRR12354279	DMSO_24 hours
DMSO_24.hours_4	SRR12354280	DMSO_24 hours
X1uM.BPDP_24.hours_1	SRR12354281	1uM BPDP_24 hours
X1uM.BPDP_24.hours_2	SRR12354282	1uM BPDP_24 hours
X1uM.BPDP_24.hours_3	SRR12354283	1uM BPDP_24 hours
X1uM.BPDP_24.hours_4	SRR12354284	1uM BPDP_24 hours
X10uM.BPDP_24.hours_1	SRR12354285	10uM BPDP_24 hours
X10uM.BPDP_24.hours_2	SRR12354286	10uM BPDP_24 hours
X10uM.BPDP_24.hours_3	SRR12354287	10uM BPDP_24 hours
X10uM.BPDP_24.hours_4	SRR12354288	10uM BPDP_24 hours
